DIFF_ND,DIFF_NF,DIFF_EN,SIZE_LA,SIZE_LD,PURP_FIX,PURP_MR,HIST_NDEV,SKIP_DOC,SKIP_MET,SKIP_COM,SKIP_FRM,SKIP_BLD,LABEL,CM_adding,CM_jmotif,CM_maven,CM_plugin,CM_prepare,CM_readme,CM_release,CM_sax,CM_update,CM_updating
8,19,0.9216942148760331,165,55,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0.0,0,5,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,3,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
1,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,19,9,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,0.054012345679012475,32,4,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,11,11,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0.0,1,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0.0,1,1,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,6,5,0,0,0.0,1,0,0,0,0,0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0
1,1,0.0,8,3,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0.0,21,4,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0.0,20,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,3,0,0,0.0,1,0,0,0,0,0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0
0,1,0.0,0,11,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,3,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.6870180554591102,0.0,0.0,0.0,0.0,0.0,0.7266403453381755,0.0
0,1,0.0,38,38,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,30,16,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.6940304280725786,0.719945668025993,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,5,3,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.6870180554591102,0.0,0.0,0.0,0.0,0.0,0.7266403453381755,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
1,1,0.0,12,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.6870180554591102,0.0,0.0,0.0,0.0,0.0,0.7266403453381755,0.0
1,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.6870180554591102,0.0,0.0,0.0,0.0,0.0,0.7266403453381755,0.0
1,1,0.0,1,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.6870180554591102,0.0,0.0,0.0,0.0,0.0,0.7266403453381755,0.0
1,1,0.0,5,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.6870180554591102,0.0,0.0,0.0,0.0,0.0,0.7266403453381755,0.0
1,1,0.0,26,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,17,17,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
0,1,0.0,2,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
0,1,0.0,19,7,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0.0,4,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
0,1,0.0,3,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
0,1,0.0,2,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.4902565218555369,0.5085628019388129,0.5185310131439518,0.0,0.4818070232677832,0.0,0.0,0.0
0,1,0.0,2,2,0,0,0.0,1,0,0,0,0,0,0.0,0.3408191486183217,0.32979864855721314,0.3421133984125007,0.34881907684293756,0.0,0.648229235330443,0.3408191486183217,0.0,0.0
1,1,0.0,1,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,0,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.4444444444444444,2,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,0.7357049375371802,184,21,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
0,1,0.0,2,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.4902565218555369,0.5085628019388129,0.5185310131439518,0.0,0.4818070232677832,0.0,0.0,0.0
0,1,0.0,2,2,0,0,0.0,1,0,0,0,0,0,0.0,0.3408191486183217,0.32979864855721314,0.3421133984125007,0.34881907684293756,0.0,0.648229235330443,0.3408191486183217,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,10,11,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,15,2,0,0,0.0,1,0,0,0,0,0,0.7452882423358747,0.0,0.0,0.6667424059079359,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,0.5,2,2,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.3046875,20,12,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.49382716049382713,7,11,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,4,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
1,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.5,2,2,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,5,5,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
0,1,0.0,13,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
0,1,0.0,11,4,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.6275992438563327,14,9,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.48918685121107264,68,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,0,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,2,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.07535563244905807,50,1,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.6700136521777426,201,60,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.30091927607009483,104,14,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.22684310018903586,17,6,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.1527777777777779,46,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.6419753086419753,9,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.1225477022305832,52,9,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,2,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,3,0,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.3708680462241334,122,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.40625,8,8,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.67375,24,16,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.375,4,4,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,0.0,2,5,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,3,0,0,0,0.0,1,0,0,0,0,0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0
2,3,0.5546875,31,1,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
0,1,0.0,3,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.4902565218555369,0.5085628019388129,0.5185310131439518,0.0,0.4818070232677832,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.3408191486183217,0.32979864855721314,0.3421133984125007,0.34881907684293756,0.0,0.648229235330443,0.3408191486183217,0.0,0.0
1,2,0.48979591836734704,5,2,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,3,0,0,0,0.0,1,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,8,8,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,16,16,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,32,0,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.22476586888657657,28,3,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.2777777777777777,6,6,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.37603305785123975,20,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,18,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,6,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,6,6,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0,33,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.09153106508875752,80,24,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6614647697683763,0.0,0.0,0.7499762385271077,0.0
3,5,0.6427751565656266,100,1133,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0.0,3,0,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.4902565218555369,0.5085628019388129,0.5185310131439518,0.0,0.4818070232677832,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.3408191486183217,0.32979864855721314,0.3421133984125007,0.34881907684293756,0.0,0.648229235330443,0.3408191486183217,0.0,0.0
1,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.5843412009164046,20,254,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
1,1,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0,0,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,0,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.4902565218555369,0.5085628019388129,0.5185310131439518,0.0,0.4818070232677832,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.3408191486183217,0.32979864855721314,0.3421133984125007,0.34881907684293756,0.0,0.648229235330443,0.3408191486183217,0.0,0.0
0,1,0.0,3,1,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
0,1,0.0,1,0,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
0,1,0.0,3,2,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
0,1,0.0,9,10,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
1,1,0.0,27,0,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,9,1,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.31999999999999984,6,4,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,0.0,4,0,0,0,0.0,1,0,0,0,0,0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0
1,1,0.0,62,0,0,0,0.0,1,0,0,0,0,0,0.7465424266415343,0.0,0.0,0.0,0.0,0.0,0.0,0.6653378128621352,0.0,0.0
0,1,0.0,4,0,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.4902565218555369,0.5085628019388129,0.5185310131439518,0.0,0.4818070232677832,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.3408191486183217,0.32979864855721314,0.3421133984125007,0.34881907684293756,0.0,0.648229235330443,0.3408191486183217,0.0,0.0
1,1,0.0,0,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.1527777777777779,23,13,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,4,4,0,0,0.0,1,0,0,0,0,0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0
1,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
0,1,0.0,2,2,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
1,1,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0,0,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,2,2,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
0,1,0.0,12,1,0,0,0.0,1,0,0,0,0,0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0
1,1,0.0,0,13,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,12,1,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
2,6,0.05947074132288899,194,3,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.4012345679012346,18,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.5493827160493827,16,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,21,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.5,62,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.2777777777777777,20,4,0,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,78,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,1,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.4902565218555369,0.5085628019388129,0.5185310131439518,0.0,0.4818070232677832,0.0,0.0,0.0
0,1,0.0,2,3,0,0,0.0,1,0,0,0,0,0,0.0,0.3408191486183217,0.32979864855721314,0.3421133984125007,0.34881907684293756,0.0,0.648229235330443,0.3408191486183217,0.0,0.0
1,1,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11,0.6729042164144906,15097,46,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,4,0,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
1,2,0.39669421487603307,29,15,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.5,6,0,1,0,0.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,1,0,1,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,8,0,0,0,0.0,1,0,0,0,0,0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0
1,2,0.48,3,2,0,0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0.0,1,0,0,0,0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.6491907155332413,0.0,0.0,0.0,0.7606256732884044
